Reference,Manufacturer, Value,Note
BT1,JST,B2B-ZR,
C1,,0.22u X5R 50V 1005,
C10,,0.22u X5R 50V 1005,
C11,,0.22u X5R 50V 1005,
C13,,0.22u X5R 50V 1005,
C14,,10u X5R 10V 2012,
C15,,0.22u X5R 50V 1005,
C16,,0.22u X5R 50V 1005,
C17,,0.22u X5R 50V 1005,
C18,,0.22u X5R 50V 1005,
C2,,10u X5R 10V 2012,
C3,,2.2u X5R 10V 1005,
C4,,2.2u X5R 10V 1005,
C5,,2.2u X5R 10V 1005,
C6,,2.2u X5R 10V 1005,
C7,,0.22u X5R 50V 1005,
C8,,0.22u X5R 50V 1005,
C9,,0.22u X5R 50V 1005,
D1,Stanley Electronic,BR1111C,
D2,Diodes,B0520LW-7-F,
L1,Bourns,SRN3015-100M,
LD1,Kingbright,APDA3020SECK/J3-PF,
LD10,Stanley Electronic,BR1111C,
LD11,Stanley Electronic,BR1111C,
LD12,Stanley Electronic,BR1111C,
LD2,Kingbright,APDA3020SECK/J3-PF,
LD3,Kingbright,APDA3020SECK/J3-PF,
LD4,Kingbright,APDA3020SECK/J3-PF,
LD5,Stanley Electronic,BR1111C,
LD6,Stanley Electronic,BG1111C,
LD7,Stanley Electronic,AY1111C,
LD8,Stanley Electronic,BR1111C,
LD9,Stanley Electronic,BR1111C,
Q1,Everlight Electronics,PT26-21C/TR8,
Q2,Everlight Electronics,PT26-21C/TR8,
Q3,Everlight Electronics,PT26-21C/TR8,
Q4,Everlight Electronics,PT26-21C/TR8,
R1,,1K 5% 1005,
R11,,1K 1% 1005,
R12,,1K 1% 1005,
R15,,1K 1% 1005,
R16,,1K 1% 1005,
R2,,10K 5% 1005,
R3,,10K 5% 1608,
R4,,220 5% 1608,
R5,,220 5% 1608,
R6,,1 1% 1608,
R7,,220 5% 1608,
R8,,220 5% 1608,
SW1,Nidec Copal,CUS-12TB,
U1,Everspin,MR25H40CDF,
U10,Monolithic Power Systems,MA700,
U2,On Semiconductor,NCV8705MT30TCG,
U3,Linear Technology,LTC4054ES5-4.2,
U4,Texas Instruments,DRV8836DSSR,
U5,Microchip Technology ,MIC2291-15YML,
U6,STMicroelectronics ,STM32F411CEU6,
U7,Maxim,MAX7375AXR805+T,
U8,TDK InvenSense,ICM-20648,
U9,Monolithic Power Systems,MA700,
J1,,-,Not mount
R10,,-,Not mount
R13,,-,Not mount
R14,,-,Not mount
R9,,-,Not mount
PAD1,,-,Not mount
PAD2,,-,Not mount
PAD3,,-,Not mount
PAD4,,-,Not mount
M1,,-,Not mount
M2,,-,Not mount
